Facility Type,School Type,School District,School Name,Address,6-12 Grade Enrollment,Total Enrollment,Average Up to Date Rate,Average Exemption Rate,Average In Process Rate,Average Incomplete Record Rate,Average No Record Rate,HepB: Up to Date Rate,HepB: Medical Exemptions Rate,HepB: Religious Exemptions Rate,HepB: Personal Exemptions Rate,HepB: In Process Rate,HepB: McKinny-Vento Exemptions Rate,HepB: Incomplete Record Rate,HepB: No Record Rate,Dtap: Up to Date Rate,Dtap: Medical Exemptions Rate,Dtap: Religious Exemptions Rate,Dtap: Personal Exemptions Rate,Dtap: In Process Rate,Dtap: McKinny-Vento Exemptions Rate,Dtap: Incomplete Record Rate,Dtap: No Record Rate,Polio: Up to Date Rate,Polio: Medical Exemptions Rate,Polio: Religious Exemptions Rate,Polio: Personal Exemptions Rate,Polio: In Process Rate,Polio: McKinny-Vento Exemptions Rate,Polio: Incomplete Record Rate,Polio: No Record Rate,MMR: Up to Date Rate,MMR: Medical Exemptions Rate,MMR: Religious Exemptions Rate,MMR: Personal Exemptions Rate,MMR: In Process Rate,MMR: McKinny-Vento Exemptions Rate,MMR: Incomplete Record Rate,MMR: No Record Rate,Varicella: Up to Date Rate,Varicella: Medical Exemptions Rate,Varicella: Religious Exemptions Rate,Varicella: Personal Exemptions Rate,Varicella: In Process Rate,Varicella: McKinny-Vento Exemptions Rate,Varicella: Incomplete Record Rate,Varicella: No Record Rate,Tdap: Up to Date,Tdap: Medical Exemptions,Tdap: Religious Exemptions,Tdap: Personal Exemptions,Tdap: In Process,Tdap: McKinny-Vento Exemptions,Tdap: Incomplete Record,Tdap: No Record,Street Address,Zipcode,ADDRESS,CHARTER,CITY,DISTRICT_NAME,DISTRICT_NUMBER,DISTRICT_SETTING,HIGHEST_GRADE,LOWEST_GRADE,PHONE,SCHOOL_CODE,SCHOOL_NAME,STATE,ZIPCODE
PUBLIC,Middle,SALIDA R-32,CREST ACADEMY,"220 12TH STREET SALIDA, CO 81201",18.0,26.0,0.7838,0.1554,0.0203,0.0405,0.0,0.8462,0.0,0.0,0.1154,0.0,0.0,0.0385,0.0,0.7692,0.0,0.0,0.1923,0.0,0.0,0.0385,0.0,0.8077,0.0,0.0,0.1538,0.0,0.0,0.0385,0.0,0.7692,0.0385,0.0,0.1538,0.0,0.0,0.0385,0.0,0.8077,0.0,0.0,0.1538,0.0,0.0,0.0385,0.0,0.6667,0.0,0.0,0.1111,0.1667,0.0,0.0556,0.0,220 12TH STREET SALIDA,81201,220 12TH STREET,False,SALIDA,SALIDA R-32,0500,Outlying Town,8th Grade,5th Grade,7195300681,1554,CREST ACADEMY,CO,81201
PUBLIC,Elementary,BOULDER VALLEY RE 2,CREST VIEW ELEMENTARY SCHOOL,"1897 SUMAC AVENUE BOULDER, CO 80304",0.0,664.0,0.803,0.0401,0.0003,0.0578,0.0,0.7952,0.0,0.0045,0.0437,0.0015,0.0136,0.0587,0.0,0.8253,0.0,0.0045,0.0286,0.0,0.0136,0.0467,0.0,0.8148,0.0,0.0045,0.0346,0.0,0.0136,0.0527,0.0,0.8102,0.0,0.0045,0.0301,0.0,0.0136,0.0572,0.0,0.7696,0.0,0.0045,0.0407,0.0,0.0136,0.0738,0.0,,,,,,,,,1897 SUMAC AVENUE BOULDER,80304,1897 SUMAC AVENUE,False,BOULDER,BOULDER VALLEY RE 2,0480,Denver Metro,5th Grade,Kindergarten,7205615461,1996,CREST VIEW ELEMENTARY SCHOOL,CO,80304
PUBLIC,Elementary,GUNNISON WATERSHED RE1J,CRESTED BUTTE ELEMENTARY SCHOOL,"818 RED LADY AVE CRESTED BUTTE, CO 81224",0.0,324.0,0.8253,0.1321,0.0,0.0395,0.0031,0.8148,0.0031,0.0,0.1543,0.0,0.0,0.0247,0.0031,0.8642,0.0031,0.0,0.0988,0.0,0.0,0.0309,0.0031,0.858,0.0031,0.0,0.1019,0.0,0.0,0.034,0.0031,0.8519,0.0031,0.0,0.1019,0.0,0.0,0.0401,0.0031,0.7377,0.0031,0.0,0.1883,0.0,0.0,0.0679,0.0031,,,,,,,,,818 RED LADY AVE CRESTED BUTTE,81224,818 RED LADY AVE,False,CRESTED BUTTE,GUNNISON WATERSHED RE1J,1360,Outlying Town,5th Grade,Kindergarten,9706417720,1447,CRESTED BUTTE ELEMENTARY SCHOOL,CO,81224
PUBLIC,Middle/High,GUNNISON WATERSHED RE1J,CRESTED BUTTE SECONDARY SCHOOL,"818 RED LADY AVENUE CRESTED BUTTE, CO 81224",378.0,378.0,0.817,0.1138,0.0,0.0653,0.0026,0.8598,0.0026,0.0,0.1111,0.0,0.0,0.0238,0.0026,0.8836,0.0026,0.0,0.1032,0.0,0.0,0.0079,0.0026,0.8571,0.0026,0.0,0.1058,0.0,0.0,0.0317,0.0026,0.8624,0.0026,0.0,0.1085,0.0,0.0,0.0238,0.0026,0.7143,0.0026,0.0,0.1481,0.0,0.0,0.1323,0.0026,0.7249,0.0026,0.0,0.0899,0.0,0.0,0.172,0.0026,818 RED LADY AVENUE CRESTED BUTTE,81224,818 RED LADY AVENUE,False,CRESTED BUTTE,GUNNISON WATERSHED RE1J,1360,Outlying Town,12th Grade,6th Grade,9706417720,2006,CRESTED BUTTE SECONDARY SCHOOL,CO,81224
PUBLIC,K-12,MOFFAT 2,CRESTONE CHARTER SCHOOL,"330 LIME AVENUE CRESTONE, CO 81131",40.0,89.0,0.2948,0.4701,0.1031,0.0,0.132,0.3596,0.0,0.0337,0.4382,0.0337,0.0,0.0,0.1348,0.3483,0.0,0.0337,0.4382,0.0449,0.0,0.0,0.1348,0.2584,0.0,0.0337,0.4382,0.1348,0.0,0.0,0.1348,0.3146,0.0,0.0337,0.4382,0.0787,0.0,0.0,0.1348,0.2247,0.0,0.0337,0.4382,0.1685,0.0,0.0,0.1348,0.225,0.0,0.025,0.425,0.225,0.0,0.0,0.1,330 LIME AVENUE CRESTONE,81131,330 LIME AVENUE,True,CRESTONE,MOFFAT 2,2800,Remote,12th Grade,Kindergarten,7192564907,2018,CRESTONE CHARTER SCHOOL,CO,81131
PUBLIC,Elem/Middle,CHARTER SCHOOL INSTITUTE,CROWN POINTE CHARTER ACADEMY,"2900 W 86TH AVE, WESTMINSTER CO 80031",157.0,472.0,0.9285,0.0008,0.0,0.0087,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9979,0.0,0.0,0.0021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9746,0.0,0.0,0.0021,0.0,0.0,0.0233,0.0,0.9788,0.0,0.0,0.0,0.0,0.0,0.0233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,80031,2900 WEST 86TH AVENUE,True,WESTMINSTER,CHARTER SCHOOL INSTITUTE,8001,Urban-Suburban,8th Grade,Kindergarten,3034281882,2035,CROWN POINTE CHARTER ACADEMY,CO,80031
PUBLIC,Elementary,ROARING FORK RE-1,CRYSTAL RIVER ELEMENTARY SCHOOL,"160 SNOWMASS DRIVE CARBONDALE, CO 81623",0.0,416.0,0.975,0.0173,0.0029,0.0048,0.0,0.9736,0.0,0.0,0.012,0.0072,0.0,0.0072,0.0,0.9832,0.0,0.0,0.0096,0.0048,0.0,0.0024,0.0,0.9712,0.0,0.0,0.0192,0.0024,0.0,0.0072,0.0,0.976,0.0024,0.0,0.0192,0.0,0.0,0.0024,0.0,0.9712,0.0,0.0,0.024,0.0,0.0,0.0048,0.0,,,,,,,,,160 SNOWMASS DRIVE CARBONDALE,81623,160 SNOWMASS DRIVE,False,CARBONDALE,ROARING FORK RE-1,1180,Outlying City,4th Grade,Preschool,9703845620,2063,CRYSTAL RIVER ELEMENTARY SCHOOL,CO,81623
PUBLIC,Elementary,CUSTER COUNTY SCHOOL DISTRICT C-1,CUSTER COUNTY ELEMENTARY SCHOOL,"709 MAIN STREET WESTCLIFFE, CO 81252",0.0,144.0,0.9083,0.0347,0.0083,0.0278,0.0208,0.9375,0.0,0.0,0.0347,0.0,0.0,0.0069,0.0208,0.8958,0.0,0.0,0.0347,0.0139,0.0,0.0347,0.0208,0.9028,0.0,0.0,0.0347,0.0069,0.0,0.0347,0.0208,0.9097,0.0,0.0,0.0347,0.0069,0.0,0.0278,0.0208,0.8958,0.0,0.0,0.0347,0.0139,0.0,0.0347,0.0208,,,,,,,,,709 MAIN STREET WESTCLIFFE,81252,709 MAIN STREET,False,WESTCLIFFE,CUSTER COUNTY SCHOOL DISTRICT C-1,0860,Remote,5th Grade,Preschool,7197832291,2088,CUSTER COUNTY ELEMENTARY SCHOOL,CO,81252
PUBLIC,High,CUSTER COUNTY SCHOOL DISTRICT C-1,CUSTER COUNTY HIGH SCHOOL,"709 MAIN STREET WESTCLIFFE, CO 81252",122.0,122.0,0.8948,0.0724,0.0232,0.0,0.0082,0.9016,0.0,0.0,0.0738,0.0164,0.0,0.0,0.0082,0.9016,0.0,0.0,0.0738,0.0164,0.0,0.0,0.0082,0.9098,0.0,0.0,0.0738,0.0082,0.0,0.0,0.0082,0.9098,0.0,0.0,0.0738,0.0,0.0,0.0,0.0082,0.8607,0.0,0.0,0.0656,0.0656,0.0,0.0,0.0082,0.8852,0.0,0.0,0.0738,0.0328,0.0,0.0,0.0082,709 MAIN STREET WESTCLIFFE,81252,709 MAIN STREET,False,WESTCLIFFE,CUSTER COUNTY SCHOOL DISTRICT C-1,0860,Remote,12th Grade,9th Grade,7197832291,2092,CUSTER COUNTY HIGH SCHOOL,CO,81252
PUBLIC,Middle,CUSTER COUNTY SCHOOL DISTRICT C-1,CUSTER MIDDLE SCHOOL,"709 MAIN STREET WESTCLIFFE, CO 81252",78.0,78.0,0.8932,0.0235,0.0043,0.0791,0.0,0.9359,0.0,0.0,0.0128,0.0,0.0,0.0513,0.0,0.9615,0.0,0.0,0.0128,0.0,0.0,0.0256,0.0,0.8846,0.0,0.0,0.0128,0.0,0.0,0.1026,0.0,0.8974,0.0,0.0,0.0385,0.0,0.0,0.0641,0.0,0.859,0.0,0.0,0.0385,0.0,0.0,0.1026,0.0,0.8205,0.0,0.0,0.0256,0.0256,0.0,0.1282,0.0,709 MAIN STREET WESTCLIFFE,81252,709 MAIN STREET,False,WESTCLIFFE,CUSTER COUNTY SCHOOL DISTRICT C-1,0860,Remote,8th Grade,6th Grade,7197832291,2091,CUSTER MIDDLE SCHOOL,CO,81252
PUBLIC,High,JEFFERSON COUNTY R-1,DAKOTA RIDGE SENIOR HIGH SCHOOL,"13399 WEST COAL MINE AVENUE LITTLETON, CO 80127",1527.0,1527.0,0.9663,0.01,0.0,0.0191,0.0013,0.9738,0.002,0.002,0.0046,0.0,0.0007,0.0131,0.0013,0.9777,0.0026,0.0013,0.0033,0.0,0.0007,0.0105,0.0013,0.981,0.002,0.0007,0.002,0.0,0.0007,0.0098,0.0013,0.9738,0.0033,0.0013,0.0046,0.0,0.0007,0.0124,0.0013,0.9273,0.0033,0.0079,0.0131,0.0,0.0007,0.0439,0.0013,0.964,0.0,0.0013,0.0052,0.0,0.0007,0.0249,0.0013,13399 WEST COAL MINE AVENUE LITTLETON,80127,13399 WEST COAL MINE AVENUE,False,LITTLETON,JEFFERSON COUNTY R-1,1420,Denver Metro,12th Grade,9th Grade,3039821970,2093,DAKOTA RIDGE SENIOR HIGH SCHOOL,CO,80127
PUBLIC,Elementary,CHERRY CREEK 5,DAKOTA VALLEY ELEMENTARY SCHOOL,"3950 SOUTH KIRK WAY AURORA, CO 80013",0.0,569.0,0.9733,0.0267,0.0,0.0,0.0,0.9754,0.0,0.0035,0.0211,0.0,0.0,0.0,0.0,0.9736,0.0,0.0035,0.0228,0.0,0.0,0.0,0.0,0.9754,0.0,0.0035,0.0211,0.0,0.0,0.0,0.0,0.9701,0.0,0.0035,0.0264,0.0,0.0,0.0,0.0,0.9719,0.0,0.0035,0.0246,0.0,0.0,0.0,0.0,,,,,,,,,3950 SOUTH KIRK WAY AURORA,80013,3950 SOUTH KIRK WAY,False,AURORA,CHERRY CREEK 5,0130,Denver Metro,5th Grade,Preschool,7208863000,2094,DAKOTA VALLEY ELEMENTARY SCHOOL,CO,80013
PUBLIC,Elementary,ADAMS-ARAPAHOE 28J,DALTON ELEMENTARY SCHOOL,"17401 EAST DARTMOUTH AVE AURORA, CO 80013",0.0,490.0,0.9776,0.0167,0.0016,0.0033,0.0,0.9837,0.0,0.002,0.0102,0.002,0.0,0.002,0.0,0.9735,0.0,0.0041,0.0143,0.0041,0.0,0.0041,0.0,0.9735,0.0,0.0041,0.0163,0.002,0.0,0.0041,0.0,0.9837,0.0,0.0041,0.0102,0.0,0.0,0.002,0.0,0.9735,0.0,0.002,0.0163,0.0,0.0,0.0041,0.0,,,,,,,,,17401 EAST DARTMOUTH AVE AURORA,80013,17401 EAST DARTMOUTH AVE,False,AURORA,ADAMS-ARAPAHOE 28J,0180,Denver Metro,5th Grade,Preschool,3036937561,2095,DALTON ELEMENTARY SCHOOL,CO,80013
PUBLIC,High,DOUGLAS COUNTY RE 1,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,"15 SOUTH GILBERT STREET CASTLE ROCK, CO 80104",156.0,156.0,0.9466,0.0053,0.0,0.0449,0.0,0.9679,0.0,0.0,0.0,0.0,0.0064,0.0256,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9872,0.0128,0.0,0.0,0.0,0.0,0.0,0.0,0.9936,0.0,0.0,0.0,0.0,0.0,0.0064,0.0,0.7885,0.0,0.0,0.0192,0.0,0.0128,0.1795,0.0,0.9423,0.0,0.0,0.0,0.0,0.0,0.0577,0.0,15 SOUTH GILBERT STREET CASTLE ROCK,80104,15 SOUTH GILBERT STREET,False,CASTLE ROCK,DOUGLAS COUNTY RE 1,0900,Denver Metro,12th Grade,9th Grade,3033870650,0201,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,CO,80104
PUBLIC,Elementary,ADAMS-ARAPAHOE 28J,DARTMOUTH ELEMENTARY SCHOOL,"3050 South Laredo Street, Aurora CO 80013",0.0,363.0,0.9256,0.0226,0.0,0.0518,0.0,0.9532,0.0,0.0,0.0165,0.0,0.0,0.0303,0.0,0.9229,0.0,0.0,0.0248,0.0,0.0,0.0523,0.0,0.9284,0.0,0.0,0.0193,0.0,0.0,0.0523,0.0,0.9118,0.0,0.0,0.0248,0.0,0.0,0.0634,0.0,0.9118,0.0028,0.0,0.0248,0.0,0.0,0.0606,0.0,,,,,,,,,,80013,3050 SOUTH LAREDO ST,False,AURORA,ADAMS-ARAPAHOE 28J,0180,Denver Metro,5th Grade,Preschool,3036901155,2114,DARTMOUTH ELEMENTARY SCHOOL,CO,80013
PUBLIC,Elem/Middle,DOUGLAS COUNTY RE 1,DC MONTESSORI CHARTER SCHOOL,"311 EAST CASTLE PINES PARKWAY CASTLE ROCK, CO 80108",104.0,432.0,0.9214,0.0636,0.0,0.0146,0.0,0.9236,0.0,0.0046,0.0671,0.0,0.0,0.0046,0.0,0.9329,0.0,0.0046,0.0509,0.0,0.0,0.0116,0.0,0.9259,0.0,0.0046,0.0579,0.0,0.0,0.0116,0.0,0.919,0.0,0.0046,0.0579,0.0,0.0023,0.0162,0.0,0.912,0.0046,0.0046,0.0602,0.0,0.0,0.0185,0.0,0.8942,0.0,0.0,0.0481,0.0,0.0,0.0577,0.0,311 EAST CASTLE PINES PARKWAY CASTLE ROCK,80108,311 EAST CASTLE PINES PARKWAY,True,CASTLE ROCK,DOUGLAS COUNTY RE 1,0900,Denver Metro,8th Grade,Preschool,3033875626,5997,DC MONTESSORI CHARTER SCHOOL,CO,80108
PUBLIC,Elementary,DENVER COUNTY 1,DCIS AT FORD,"14500 MAXWELL PLACE DENVER, CO 80239",0.0,427.0,0.9934,0.0066,0.0,0.0,0.0,0.9953,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.9953,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.9953,0.0,0.0,0.0047,0.0,0.0,0.0,0.0,0.993,0.0023,0.0,0.0047,0.0,0.0,0.0,0.0,0.9883,0.007,0.0,0.0047,0.0,0.0,0.0,0.0,,,,,,,,,14500 MAXWELL PLACE DENVER,80239,14500 MAXWELL PLACE,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,5th Grade,Preschool,7204247300,2205,DCIS AT FORD,CO,80239
PUBLIC,Middle/High,DENVER COUNTY 1,DCIS AT MONTBELLO,"5000 CROWN BLVD DENVER, CO 80239",516.0,516.0,0.9102,0.0,0.0081,0.0804,0.0,0.9322,0.0,0.0,0.0,0.0019,0.0,0.0659,0.0,0.9399,0.0,0.0,0.0,0.0039,0.0,0.0562,0.0,0.9109,0.0,0.0,0.0,0.031,0.0,0.0581,0.0,0.936,0.0,0.0,0.0,0.0,0.0,0.064,0.0,0.8256,0.0,0.0,0.0,0.0116,0.0,0.155,0.0,0.9167,0.0,0.0,0.0,0.0,0.0,0.0833,0.0,5000 CROWN BLVD DENVER,80239,5000 CROWN BLVD,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,6th Grade,7204235900,2209,DCIS AT MONTBELLO,CO,80239
PUBLIC,Elementary,JEFFERSON COUNTY R-1,DEANE ELEMENTARY SCHOOL,"580 SOUTH HARLAN STREET LAKEWOOD, CO 80226",76.0,511.0,0.9225,0.0156,0.0008,0.0517,0.008,0.9648,0.0,0.0078,0.0078,0.0,0.0,0.0117,0.0078,0.9452,0.0,0.0078,0.0078,0.0,0.0,0.0313,0.0078,0.9315,0.0,0.0078,0.0059,0.002,0.0,0.045,0.0078,0.9374,0.002,0.0078,0.0078,0.002,0.0,0.0352,0.0078,0.9256,0.0,0.0078,0.0078,0.0,0.0,0.047,0.0078,0.3026,0.0,0.0,0.0132,0.0,0.0263,0.6447,0.0132,580 SOUTH HARLAN STREET LAKEWOOD,80226,580 SOUTH HARLAN STREET,False,LAKEWOOD,JEFFERSON COUNTY R-1,1420,Denver Metro,6th Grade,Kindergarten,3039829655,8090,DEANE ELEMENTARY SCHOOL,CO,80226
PUBLIC,Elementary,PLATTE CANYON 1,DEER CREEK ELEMENTARY SCHOOL,"1737 CR 43 BAILEY, CO 80421",0.0,384.0,0.8656,0.0484,0.0005,0.075,0.0104,0.875,0.0,0.0,0.0391,0.0,0.0,0.0755,0.0104,0.8906,0.0,0.0,0.0365,0.0026,0.0,0.0599,0.0104,0.8672,0.0,0.0,0.0521,0.0,0.0,0.0703,0.0104,0.8542,0.0,0.0,0.0547,0.0,0.0,0.0807,0.0104,0.8411,0.0,0.0,0.0599,0.0,0.0,0.0885,0.0104,,,,,,,,,1737 CR 43 BAILEY,80421,1737 CR 43,False,BAILEY,PLATTE CANYON 1,2600,Remote,5th Grade,Preschool,3038387666,7042,DEER CREEK ELEMENTARY SCHOOL,CO,80421
PUBLIC,Middle,JEFFERSON COUNTY R-1,DEER CREEK MIDDLE SCHOOL,"9201 WEST COLUMBINE DRIVE LITTLETON, CO 80123",683.0,683.0,0.96,0.0132,0.0,0.0166,0.0102,0.9722,0.0,0.0,0.0117,0.0,0.0,0.0059,0.0102,0.9854,0.0015,0.0,0.0,0.0,0.0,0.0029,0.0102,0.9766,0.0015,0.0,0.0059,0.0,0.0,0.0059,0.0102,0.9678,0.0015,0.0,0.0117,0.0,0.0,0.0088,0.0102,0.9283,0.0015,0.0,0.022,0.0,0.0,0.0381,0.0102,0.9297,0.0,0.0,0.022,0.0,0.0,0.0381,0.0102,9201 WEST COLUMBINE DRIVE LITTLETON,80123,9201 WEST COLUMBINE DRIVE,False,LITTLETON,JEFFERSON COUNTY R-1,1420,Denver Metro,8th Grade,6th Grade,3039823820,2130,DEER CREEK MIDDLE SCHOOL,CO,80123
PUBLIC,Middle,DELTA COUNTY 50(J),DELTA ACADEMY OF APPLIED LEARNING,"239 E 6TH STREET DELTA, CO 81416",19.0,19.0,0.9561,0.0088,0.0351,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9474,0.0,0.0,0.0526,0.0,0.0,0.0,0.0,0.7895,0.0,0.0,0.0,0.2105,0.0,0.0,0.0,239 E 6TH STREET DELTA,81416,239 E 6TH STREET,False,DELTA,DELTA COUNTY 50(J),0870,Outlying Town,8th Grade,5th Grade,9708740835,2152,DELTA ACADEMY OF APPLIED LEARNING,CO,81416
PUBLIC,High,DELTA COUNTY 50(J),DELTA HIGH SCHOOL,"1400 PIONEER ROAD DELTA, CO 81416",611.0,611.0,0.9348,0.0033,0.0,0.0622,0.0,0.9542,0.0,0.0,0.0,0.0,0.0,0.0458,0.0,0.9722,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.8805,0.0,0.0,0.0164,0.0,0.0,0.1031,0.0,0.9476,0.0016,0.0,0.0,0.0,0.0,0.0507,0.0,0.91,0.0,0.0,0.0016,0.0,0.0,0.09,0.0,0.9444,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,1400 PIONEER ROAD DELTA,81416,1400 PIONEER ROAD,False,DELTA,DELTA COUNTY 50(J),0870,Outlying Town,12th Grade,9th Grade,9708748031,2164,DELTA HIGH SCHOOL,CO,81416
PUBLIC,High,DELTA COUNTY 50(J),DELTA HIGH SCHOOL,"1400 PIONEER ROAD DELTA, CO 81416",611.0,611.0,0.9348,0.0033,0.0,0.0622,0.0,0.9542,0.0,0.0,0.0,0.0,0.0,0.0458,0.0,0.9722,0.0,0.0,0.0,0.0,0.0,0.0278,0.0,0.8805,0.0,0.0,0.0164,0.0,0.0,0.1031,0.0,0.9476,0.0016,0.0,0.0,0.0,0.0,0.0507,0.0,0.91,0.0,0.0,0.0016,0.0,0.0,0.09,0.0,0.9444,0.0,0.0,0.0,0.0,0.0,0.0556,0.0,1400 PIONEER ROAD DELTA,81416,655 SOUTH MONACO PARKWAY,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,9th Grade,7204238740,3699,DELTA HIGH SCHOOL,CO,80224
PUBLIC,Middle,DELTA COUNTY 50(J),DELTA MIDDLE SCHOOL,"910 GRAND AVENUE DELTA, CO 81416",486.0,486.0,0.9129,0.0165,0.0,0.0706,0.0,0.9115,0.0,0.0,0.0165,0.0,0.0,0.072,0.0,0.9506,0.0,0.0,0.0165,0.0,0.0,0.0329,0.0,0.8992,0.0,0.0,0.0165,0.0,0.0,0.0844,0.0,0.9403,0.0,0.0,0.0165,0.0,0.0,0.0432,0.0,0.9198,0.0,0.0,0.0165,0.0,0.0,0.0638,0.0,0.856,0.0,0.0,0.0165,0.0,0.0,0.1276,0.0,910 GRAND AVENUE DELTA,81416,910 GRAND AVENUE,False,DELTA,DELTA COUNTY 50(J),0870,Outlying Town,8th Grade,6th Grade,9708748046,2160,DELTA MIDDLE SCHOOL,CO,81416
PUBLIC,Elementary,DENVER COUNTY 1,DENISON MONTESSORI SCHOOL,"1821 SOUTH YATES STREET DENVER, CO 80219",35.0,309.0,0.9494,0.0399,0.0006,0.0095,0.0,0.9547,0.0032,0.0129,0.0227,0.0,0.0,0.0065,0.0,0.9612,0.0032,0.0129,0.0194,0.0,0.0,0.0032,0.0,0.9515,0.0032,0.0129,0.0227,0.0032,0.0,0.0032,0.0,0.9547,0.0032,0.0129,0.0227,0.0,0.0,0.0065,0.0,0.945,0.0032,0.0129,0.0291,0.0,0.0,0.0097,0.0,0.7714,0.0,0.0286,0.0286,0.0,0.0,0.1714,0.0,1821 SOUTH YATES STREET DENVER,80219,1821 SOUTH YATES STREET,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,6th Grade,Preschool,7204248080,2174,DENISON MONTESSORI SCHOOL,CO,80219
PUBLIC,Elementary,JEFFERSON COUNTY R-1,DENNISON ELEMENTARY SCHOOL,"401 INDEPENDENCE STREET LAKEWOOD, CO 80226",90.0,625.0,0.9664,0.0068,0.0006,0.0106,0.0156,0.9664,0.0,0.0,0.0112,0.0016,0.0,0.0096,0.0112,0.976,0.0,0.0,0.0048,0.0,0.0,0.0128,0.0064,0.9712,0.0,0.0,0.008,0.0,0.0,0.0128,0.008,0.9696,0.0,0.0,0.0064,0.0,0.0,0.0112,0.0128,0.9712,0.0,0.0,0.0048,0.0,0.0,0.008,0.016,0.8111,0.0,0.0,0.0,0.0111,0.0,0.0,0.1778,401 INDEPENDENCE STREET LAKEWOOD,80226,401 INDEPENDENCE STREET,False,LAKEWOOD,JEFFERSON COUNTY R-1,1420,Denver Metro,6th Grade,Kindergarten,3039826382,9432,DENNISON ELEMENTARY SCHOOL,CO,80226
PUBLIC,Middle/High,DENVER COUNTY 1,DENVER CENTER FOR INTERNATIONAL STUDIES,"574 WEST 6TH AVE DENVER, CO 80204",732.0,732.0,0.8928,0.0173,0.0,0.0722,0.0178,0.9262,0.0027,0.0014,0.0109,0.0,0.0,0.041,0.0178,0.9454,0.0014,0.0027,0.0123,0.0,0.0,0.0205,0.0178,0.9413,0.0014,0.0027,0.0123,0.0,0.0,0.0246,0.0178,0.9276,0.0014,0.0027,0.015,0.0,0.0,0.0355,0.0178,0.8224,0.0041,0.0041,0.0123,0.0,0.0,0.1393,0.0178,0.7937,0.0014,0.0,0.015,0.0,0.0,0.1721,0.0178,574 WEST 6TH AVE DENVER,80204,574 WEST 6TH AVE,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,12th Grade,6th Grade,7204239000,2183,DENVER CENTER FOR INTERNATIONAL STUDIES,CO,80204
PUBLIC,Elementary,DENVER COUNTY 1,DENVER CENTER FOR INTERNATIONAL STUDIES AT FAIRMONT,"520 WEST 3RD AVENUE DENVER, CO 80223",0.0,398.0,0.9377,0.0201,0.002,0.0402,0.0,0.9246,0.0,0.0025,0.0226,0.0,0.0,0.0503,0.0,0.9573,0.0,0.0025,0.0151,0.0025,0.0,0.0226,0.0,0.9497,0.0,0.0025,0.0201,0.0025,0.0,0.0251,0.0,0.9372,0.0,0.0025,0.0151,0.0,0.0,0.0452,0.0,0.9196,0.0,0.0025,0.0151,0.005,0.0,0.0578,0.0,,,,,,,,,520 WEST 3RD AVENUE DENVER,80223,520 WEST 3RD AVENUE,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,5th Grade,Preschool,7204247620,2129,DENVER CENTER FOR INTERNATIONAL STUDIES AT FAIRMONT,CO,80223
PUBLIC,Middle,DENVER COUNTY 1,DENVER DISCOVERY SCHOOL,"3480 SYRACUSE STREET DENVER, CO 80238",415.0,415.0,0.941,0.0173,0.0,0.0378,0.004,0.9301,0.0,0.0,0.0193,0.0,0.0,0.0458,0.0048,0.9446,0.0024,0.0,0.0145,0.0,0.0,0.0337,0.0048,0.9518,0.0,0.0,0.0169,0.0,0.0,0.0313,0.0,0.9325,0.0,0.0,0.0169,0.0,0.0,0.0458,0.0048,0.9253,0.0024,0.0,0.0145,0.0,0.0,0.0554,0.0024,0.9614,0.0,0.0,0.0169,0.0,0.0,0.0145,0.0072,3480 SYRACUSE STREET DENVER,80238,3480 SYRACUSE STREET,False,DENVER,DENVER COUNTY 1,0880,Denver Metro,8th Grade,6th Grade,7204244790,2227,DENVER DISCOVERY SCHOOL,CO,80238
